agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url,crime_index,gautrain_km
,324.0,,4.0,,,Kloofendal,,3200000.0,4 Bedroom House,,,3.0,13.84
,388.0,,3.0,,,Florida View,,1800000.0,3 Bedroom House,,,3.0,13.84
,115.0,,4.0,,,Witpoortjie,,1300000.0,4 Bedroom House,,,3.0,13.84
,700.0,,3.0,,,Floracliffe,,1499900.0,3 Bedroom Townhouse,,,3.0,13.84
,892.0,,3.0,,,Witpoortjie,,1449999.0,3 Bedroom House,,,3.0,13.84
,56.0,,2.0,,,Honeydew,,695000.0,2 Bedroom Townhouse,,,4.0,11.41
,277.0,,3.0,,,Goudrand,,850000.0,3 Bedroom House,,,3.0,13.84
,611.0,,4.0,,,Little Falls,,1998000.0,4 Bedroom House,,,4.0,12.77
,113.0,2.0,3.0,,,Allen'S Nek,,1250000.0,3 Bedroom Townhouse,,,3.0,13.84
,713.0,,2.0,,,Allen'S Nek,,700000.0,2 Bedroom Townhouse,,,3.0,13.84
,951.0,,2.0,,,Groblerpark,,550000.0,2 Bedroom Townhouse,,,3.0,13.84
,497.0,,4.0,,,Helderkruin,,1600000.0,4 Bedroom House,,,3.0,14.75
,952.0,,2.0,,,Radiokop,,1080000.0,2 Bedroom Townhouse,,,3.0,12.01
,300.0,,4.0,,,Little Falls,,2199999.0,4 Bedroom Townhouse,,,4.0,12.77
,48.0,,4.0,,,Weltevreden Park,,1670000.0,4 Bedroom House,,,3.0,9.07
,95.0,,2.0,,,Strubensvallei,,1025000.0,2 Bedroom Townhouse,,,3.0,13.84
,99.0,,2.0,,,Strubensvallei,,1090000.0,2 Bedroom Townhouse,,,3.0,13.84
,918.0,,4.0,,,Witpoortjie,,1250000.0,4 Bedroom House,,,3.0,13.84
,74.0,,3.0,,,Weltevreden Park,,949000.0,3 Bedroom Townhouse,,,3.0,9.07
,587.0,,4.0,,,Helderkruin,,3550000.0,4 Bedroom House,,,3.0,14.75
,487.0,,4.0,,,Constantia Kloof,,1799000.0,4 Bedroom House,,,3.0,13.92
,277.0,2.0,3.0,,,Wilgeheuwel,,1780000.0,3 Bedroom House,,,3.0,13.84
,39.0,,2.0,,,Fleurhof,,399000.0,2 Bedroom Apartment,,,8.0,13.36
,240.0,,3.0,,,Wilgeheuwel,,1545000.0,3 Bedroom House,,,3.0,13.84
,374.0,,2.0,,,Cosmo City,,889999.0,2 Bedroom House,,,3.0,13.84
,108.0,,4.0,,,Roodekrans,,1500000.0,4 Bedroom House,,,3.0,13.84
,496.0,,5.0,,,Florida Glen,,1699000.0,5 Bedroom House,,,3.0,13.84
,46.0,,3.0,,,Groblerpark,,690000.0,3 Bedroom Townhouse,,,3.0,13.84
,28.0,,1.0,,,Willowbrook,,350000.0,1 Bedroom Apartment,,,3.0,13.84
,324.0,,3.0,,,Honeydew Ridge,,1390000.0,3 Bedroom Townhouse,,,3.0,13.84
,240.0,,3.0,,,Cosmo City,,1470000.0,3 Bedroom House,,,3.0,13.84
,77.0,,3.0,,,Constantia Kloof,,795000.0,3 Bedroom Apartment,,,3.0,13.92
,863.0,,3.0,,,Maraisburg,,1195000.0,3 Bedroom House,,,3.0,13.84
,119.0,,2.0,,,Constantia Kloof,,1695000.0,2 Bedroom Townhouse,,,3.0,13.92
,72.0,,1.0,,,Willowbrook,,499000.0,1 Bedroom Townhouse,,,3.0,13.84
,137.0,,3.0,,,Wilgeheuwel,,1150000.0,3 Bedroom Townhouse,,,3.0,13.84
,78.0,,2.0,,,Radiokop,,680000.0,2 Bedroom Apartment,,,3.0,12.01
,159.0,,3.0,,,Wilro Park,,1599000.0,3 Bedroom Apartment,,,3.0,13.84
,81.0,,2.0,,,Ruimsig,,1050000.0,2 Bedroom Apartment,,,2.0,17.29
,145.0,,3.0,,,Ruimsig,,1499999.0,3 Bedroom Townhouse,,,2.0,17.29
,148.0,,,,,Ruimsig,,1700000.0,Commercial Property,,,2.0,17.29
,84.0,,3.0,,,Wilgeheuwel,,790000.0,3 Bedroom Apartment,,,3.0,13.84
,66.0,,2.0,,,Honeydew,,640000.0,2 Bedroom Apartment,,,4.0,11.41
,55.0,,1.0,,,Honeydew Ridge,,675000.0,1 Bedroom Townhouse,,,3.0,13.84
,953.0,,4.0,,,Selwyn,,1300000.0,4 Bedroom House,,,3.0,13.84
,99.0,,2.0,,,Little Falls,,780000.0,2 Bedroom Apartment,,,4.0,12.77
,40.0,,1.0,,,Whiteridge,,550000.0,1 Bedroom Apartment,,,3.0,13.84
,700.0,,2.0,,,Radiokop,,850000.0,2 Bedroom Townhouse,,,3.0,12.01
,30.0,,4.0,,,Weltevreden Park,,2595000.0,4 Bedroom House,,,3.0,9.07
,460.0,,3.0,,,Willowbrook,,2298000.0,3 Bedroom Townhouse,,,3.0,13.84
,72.0,,2.0,,,Discovery,,499900.0,2 Bedroom Apartment,,,4.0,12.35
,53.0,,2.0,,,Florida,,549999.0,2 Bedroom Apartment,,,6.0,14.56
,991.0,,3.0,,,Delarey,,1590000.0,3 Bedroom House,,,3.0,13.84
,156.0,,3.0,,,Wilro Park,,1720000.0,3 Bedroom Townhouse,,,3.0,13.84
,291.0,,3.0,,,Fleurhof,,900000.0,3 Bedroom House,,,8.0,13.36
,90.0,,3.0,,,Weltevreden Park,,1199000.0,3 Bedroom Townhouse,,,3.0,9.07
,531.0,,4.0,,,Constantia Kloof,,2400000.0,4 Bedroom House,,,3.0,13.92
,70.0,,,,,Helderkruin,,585000.0,Commercial Property,,,3.0,14.75
,592.0,,3.0,,,Tres Jolie,,2500000.0,3 Bedroom House,,,3.0,13.84
,354.0,,3.0,,,Princess Ah,,870000.0,3 Bedroom Townhouse,,,3.0,13.84
,929.0,,3.0,,,Discovery,,1599000.0,3 Bedroom House,,,4.0,12.35
,113.0,,2.0,,,Weltevreden Park,,885000.0,2 Bedroom Townhouse,,,3.0,9.07
,76.0,,2.0,,,Honeydew,,799000.0,2 Bedroom Apartment,,,4.0,11.41
,138.0,,3.0,,,Amorosa,,1495000.0,3 Bedroom Townhouse,,,3.0,13.84
,57.0,,2.0,,,Radiokop,,540000.0,2 Bedroom Apartment,,,3.0,12.01
,487.0,,4.0,,,Constantia Kloof,,2250000.0,4 Bedroom House,,,3.0,13.92
,88.0,,3.0,,,Willowbrook,,850000.0,3 Bedroom Townhouse,,,3.0,13.84
,151.0,,3.0,,,Honeydew Ridge,,1499000.0,3 Bedroom Townhouse,,,3.0,13.84
,68.0,,2.0,,,Witpoortjie,,400000.0,2 Bedroom Apartment,,,3.0,13.84
,143.0,,3.0,,,Weltevreden Park,,1499500.0,3 Bedroom Townhouse,,,3.0,9.07
,140.0,,5.0,,,Florida,,1699000.0,5 Bedroom House,,,6.0,14.56
,71.0,,2.0,,,Georginia,,440000.0,2 Bedroom Apartment,,,3.0,13.84
,10.0,,3.0,,,Honeypark,,790000.0,3 Bedroom Apartment,,,3.0,13.84
,118.0,,3.0,,,Wilgeheuwel,,1000000.0,3 Bedroom Townhouse,,,3.0,13.84
,462.0,,,,,Groblerpark,,5000000.0,Farm,,,3.0,13.84
,92.0,,5.0,,,Poortview,,8500000.0,5 Bedroom House,,,3.0,13.84
,200.0,,3.0,,,Roodekrans,,2550000.0,3 Bedroom House,,,3.0,13.84
,73.0,,2.0,,,Honeypark,,680000.0,2 Bedroom Townhouse,,,3.0,13.84
,200.0,,2.0,,,Wilgeheuwel,,675000.0,2 Bedroom Townhouse,,,3.0,13.84
,64.0,,2.0,,,Florida Glen,,720000.0,2 Bedroom Townhouse,,,3.0,13.84
,355.0,,2.0,,,Horizon View,,480000.0,2 Bedroom Townhouse,,,3.0,13.84
,39.0,,2.0,,,Fleurhof,,560000.0,2 Bedroom House,,,8.0,13.36
,790.0,,3.0,,,Quellerina,,2850000.0,3 Bedroom House,,,3.0,13.84
,920.0,,3.0,,,Wilgeheuwel,,1750000.0,3 Bedroom House,,,3.0,13.84
,180.0,,3.0,,,Amorosa,,1650000.0,3 Bedroom Townhouse,,,3.0,13.84
,65.0,,2.0,,,Honeypark,,629900.0,2 Bedroom Apartment,,,3.0,13.84
,78.0,,3.0,,,Florida,,490000.0,3 Bedroom Townhouse,,,6.0,14.56
,87.0,1.0,2.0,,,Weltevreden Park,,699000.0,2 Bedroom Apartment,,,3.0,9.07
,43.0,,3.0,,,Witpoortjie,,1150000.0,3 Bedroom House,,,3.0,13.84
,41.0,,2.0,,,Weltevreden Park,,550000.0,2 Bedroom Townhouse,,,3.0,9.07
